track,tag,x,y,route,entry_utc_epoch,entry_time_pst,exit_utc_epoch,exit_time_pst,first_detection_utc_epoch,first_detection_time_pst
track-7B4D,7B4D,647378.705906658,4185702.37863948,Head_of_Old_River,1521433038.2532492,2018-03-18 20:17:18,1521434280.391796,2018-03-18 20:38:00,1521433038.2532492,2018-03-18 20:17:18
track-7B51,7B51,647344.6965643939,4185792.70032351,no_exit,,,,,1522017532.6360302,2018-03-25 14:38:53
track-7B56,7B56,647306.97411922,4185816.2371849,San_Joaquin,,,1521880414.634093,2018-03-24 00:33:35,1521879884.67942,2018-03-24 00:24:45
track-7B5A,7B5A,647370.586828629,4185752.20226805,no_exit,,,,,1522063777.65471,2018-03-26 03:29:38
track-7B6A,7B6A,647351.198118233,4185768.86540769,San_Joaquin,,,1522068538.3834615,2018-03-26 04:48:58,1522068104.48129,2018-03-26 04:41:44
track-7BA9,7BA9,647357.301147989,4185789.81972504,Head_of_Old_River,,,1521948072.0410204,2018-03-24 19:21:12,1521947775.5776901,2018-03-24 19:16:16
track-7BD5,7BD5,647415.812629051,4185740.58900626,Head_of_Old_River,1521287128.1686788,2018-03-17 03:45:28,1521288014.8656187,2018-03-17 04:00:15,1521287128.1686788,2018-03-17 03:45:28
track-7CA5,7CA5,647384.690669859,4185707.57240169,Head_of_Old_River,1521289556.608025,2018-03-17 04:25:57,1521290901.401227,2018-03-17 04:48:21,1521289556.608025,2018-03-17 04:25:57
track-7CA9,7CA9,647290.560936327,4185770.87673358,Head_of_Old_River,,,1521341272.1606555,2018-03-17 18:47:52,1521340972.3589802,2018-03-17 18:42:52
track-7CAB,7CAB,647333.858016604,4185818.19930945,San_Joaquin,,,1522089108.6993213,2018-03-26 10:31:49,1522088930.85673,2018-03-26 10:28:51
track-7CB5,7CB5,647339.611202776,4185791.12298874,San_Joaquin,,,1521874105.1279511,2018-03-23 22:48:25,1521873578.30328,2018-03-23 22:39:38
track-7D25,7D25,647401.413286526,4185730.17607083,no_exit,1521932353.4577734,2018-03-24 14:59:13,,,1521932353.4577734,2018-03-24 14:59:13
track-7D29,7D29,647378.3056863571,4185703.85304212,Head_of_Old_River,,,1521881679.53193,2018-03-24 00:54:40,1521881192.03205,2018-03-24 00:46:32
track-7D4D,7D4D,647311.562529168,4185816.44073739,San_Joaquin,,,1521896614.7491813,2018-03-24 05:03:35,1521896356.23415,2018-03-24 04:59:16
track-7D53,7D53,647388.092053186,4185713.80218994,no_exit,1521646140.1890585,2018-03-21 07:29:00,,,1521646140.1890585,2018-03-21 07:29:00
track-7D57,7D57,647280.275415786,4185872.44934429,San_Joaquin,,,1522085161.8079436,2018-03-26 09:26:02,1522084745.43117,2018-03-26 09:19:05
track-7D5A,7D5A,647342.801646515,4185761.95980976,no_exit,,,,,1521983352.0044901,2018-03-25 05:09:12
track-7D65,7D65,647363.846190282,4185726.75953736,San_Joaquin,,,1521932048.889358,2018-03-24 14:54:09,1521931501.94621,2018-03-24 14:45:02
track-7DAB,7DAB,647346.266355191,4185783.34273761,San_Joaquin,,,1522254296.8196852,2018-03-28 08:24:57,1522254054.15545,2018-03-28 08:20:54
track-7DD5,7DD5,647315.51182246,4185805.59686383,San_Joaquin,,,1521439874.3449118,2018-03-18 22:11:14,1521439344.72055,2018-03-18 22:02:25
track-7EAA,7EAA,647377.982126808,4185704.51112942,no_exit,1521930772.094534,2018-03-24 14:32:52,,,1521930772.094534,2018-03-24 14:32:52
track-7EAB,7EAB,647347.172626042,4185734.12799255,no_exit,,,,,1521380900.6404,2018-03-18 05:48:21
track-8255,8255,647387.927110902,4185747.25308669,San_Joaquin,,,1521937273.7190275,2018-03-24 16:21:14,1521936568.01526,2018-03-24 16:09:28
track-8292,8292,647378.4786073171,4185707.28517897,Head_of_Old_River,1521496842.1690323,2018-03-19 14:00:42,1521497281.0115266,2018-03-19 14:08:01,1521496842.1690323,2018-03-19 14:00:42
track-82A4,82A4,647262.022296812,4185888.90857548,San_Joaquin,,,1521955497.3867931,2018-03-24 21:24:57,1521955463.14286,2018-03-24 21:24:23
track-82BA,82BA,647376.664549616,4185701.19445195,no_exit,1521940873.7030823,2018-03-24 17:21:14,,,1521940873.7030823,2018-03-24 17:21:14
track-82D2,82D2,647387.416487114,4185710.33554821,San_Joaquin,,,1522025117.2061453,2018-03-25 16:45:17,1522024642.10643,2018-03-25 16:37:22
track-82D5,82D5,647380.545789568,4185735.9653971,San_Joaquin,,,1521913876.686849,2018-03-24 09:51:17,1521911945.49868,2018-03-24 09:19:05
track-834A,834A,647368.337340173,4185734.26230965,San_Joaquin,,,1522059735.9310832,2018-03-26 02:22:16,1522059375.56967,2018-03-26 02:16:16
track-836A,836A,647363.366701944,4185762.21004718,Head_of_Old_River,,,1521275476.6427784,2018-03-17 00:31:17,1521275009.93065,2018-03-17 00:23:30
