Fish,ID,Node_count,X,Y,Z,Sec,Error,dt,uSecs
174,768a,3,647215.1,4185885.1,4,1521835860,4.10E-05,3/23/2018 13:11,879565
174,768a,4,647219.6,4185886.6,3,1521835875,0.000776,3/23/2018 13:11,951588
174,768a,3,647220.6,4185886.6,0,1521835885,9.40E-05,3/23/2018 13:11,997463
174,768a,3,647220.6,4185886.1,2,1521835896,0.000107,3/23/2018 13:11,44678
174,768a,3,647218.6,4185885.6,3.5,1521835901,8.30E-05,3/23/2018 13:11,67663
174,768a,4,647221.1,4185882.1,1.5,1521835916,0.000193,3/23/2018 13:11,146565
174,768a,5,647216.1,4185885.6,5,1521835936,0.000663,3/23/2018 13:12,221129
174,768a,3,647201.1,4185909.6,3.5,1521835941,2.00E-06,3/23/2018 13:12,256704
174,768a,6,647214.1,4185884.1,3,1521835956,0.000661,3/23/2018 13:12,324298
174,768a,5,647214.1,4185883.6,5,1521835961,0.000503,3/23/2018 13:12,351474
174,768a,3,647214.1,4185883.1,5,1521835966,5.50E-05,3/23/2018 13:12,377609
174,768a,4,647255.6,4185837.1,5,1521835971,0.000566,3/23/2018 13:12,411462
174,768a,3,647213.6,4185882.1,2,1521835981,0.000191,3/23/2018 13:13,450976
174,768a,3,647212.6,4185880.6,1.5,1521835991,3.50E-05,3/23/2018 13:13,481403
174,768a,3,647215.6,4185881.1,3,1521835996,6.80E-05,3/23/2018 13:13,529013
174,768a,4,647215.1,4185881.1,3.5,1521836001,0.000472,3/23/2018 13:13,553410
174,768a,3,647219.1,4185873.6,5,1521836011,6.00E-06,3/23/2018 13:13,613973
174,768a,3,647217.6,4185879.1,1,1521836026,0.000102,3/23/2018 13:13,696210
174,768a,4,647216.1,4185878.6,5,1521836031,0.00054,3/23/2018 13:13,724615
174,768a,3,647265.1,4185837.1,1,1521836046,1.00E-06,3/23/2018 13:14,823511
174,768a,3,647216.1,4185875.1,5,1521836061,9.70E-05,3/23/2018 13:14,876061
174,768a,4,647203.1,4185896.1,5,1521836076,0.000715,3/23/2018 13:14,950147
174,768a,4,647216.6,4185873.6,5,1521836081,0.000198,3/23/2018 13:14,978454
174,768a,3,647216.1,4185874.1,4,1521836102,6.40E-05,3/23/2018 13:15,75748
174,768a,4,647214.1,4185876.6,5,1521836117,5.60E-05,3/23/2018 13:15,123688
174,768a,4,647215.1,4185877.1,4,1521836122,3.50E-05,3/23/2018 13:15,149374
174,768a,3,647219.1,4185875.1,5,1521836137,8.60E-05,3/23/2018 13:15,260566
