x,y,d,z_bed,depth_bt,depth_m,u_avg,v_avg,u_surf,v_surf,tnum
647343.0578481049,4185700.3023654,2.0585653456534767,1.15,1.15,1.1416666666666666,-0.25636920079713743,0.2258543465988359,-0.1527500043157488,0.22299999743700027,1522951414.0
647343.4566428452,4185700.6276628957,2.5732066823042246,1.2166666666666668,1.2166666666666668,1.23,-0.24180072322234752,0.18940217313559154,-0.10925000137649477,0.11549999564886093,1522951414.0
647343.8554375855,4185700.95296039,3.087848018660635,1.4466666666666665,1.4466666666666665,1.4416666666666667,-0.24991766806559965,0.26700866874059037,-0.007000000216066837,0.08699999749660492,1522951414.0
647344.2542323256,4185701.2782578855,3.602489355130963,1.4800000000000002,1.4800000000000002,1.4916666666666665,-0.23909666767584467,0.24548600154618413,-0.007000000216066837,0.08699999749660492,1522951414.0
647344.6530270659,4185701.603555381,4.117130691781711,1.555,1.555,1.5533333333333335,-0.2728920000575793,0.2320883335160713,-0.007000000216066837,0.08699999749660492,1522951414.0
647345.0518218064,4185701.928852876,4.631772028522669,1.7166666666666668,1.7166666666666668,1.6766666666666665,-0.2558275861036697,0.20415459673894545,-0.1289999969303608,0.215999998152256,1522951414.0
647345.4506165468,4185702.2541503715,5.14641336487908,1.8066666666666666,1.8066666666666666,1.7283333333333333,-0.25478534396288227,0.28092270266350317,-0.29350000619888306,-0.0989999994635582,1522951414.0
647345.8494112869,4185702.579447866,5.66105470114528,1.8266666666666669,1.8266666666666669,1.7666666666666666,-0.24299827506337532,0.3077813236246249,-0.357000008225441,0.04150000028312206,1522951414.0
647346.248206027,4185702.9047453613,6.175696037615608,1.8716666666666664,1.8716666666666664,1.8283333333333331,-0.2480881805988875,0.27316060580426094,-0.453000009059906,-0.05700000002980232,1522951414.0
647346.6470007672,4185703.2300428567,6.690337374176146,1.9833333333333334,1.9833333333333334,1.9299999999999997,-0.27151743642675386,0.2584269219827958,-0.2750000059604645,0.1679999977350235,1522951414.0
647347.0457955076,4185703.555340351,7.204978710622766,2.03,2.03,1.9816666666666667,-0.2952287639681532,0.30050268686747056,-0.20274999912362546,0.335999995470047,1522951414.0
647347.4445902477,4185703.880637847,7.719620047093094,2.1649999999999996,2.1649999999999996,2.125,-0.31153958422235345,0.2820182855447964,-0.28849999979138374,0.33500000089406967,1522951414.0
647347.843384988,4185704.2059353427,8.234261383743842,2.223333333333333,2.223333333333333,2.1966666666666668,-0.31968333421068085,0.3088995358251314,-0.26225000247359276,0.3335000053048134,1522951414.0
