x,y,d,z_bed,depth_bt,depth_m,u_avg,v_avg,u_surf,v_surf,tnum,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647413.7254138255,4185678.076335126,40.54655315329305,4.757666577895481,4.757666577895481,4.793999989827474,-0.4832627423299296,0.5544872538045346,-0.5210000100930533,0.5220000114440918,1522856992.5,647413.9100561708,4185678.2737557227,1522856992.5,2018-04-04 15:49:52.500,-0.4652521665651204,-0.753734379895987,0.5237304460245207,0.8066268808609174,-0.00483895499785697,-0.004261868048067469,-6.340248247959428,-1.3130961422655567
647414.0946985162,4185678.4711763193,41.08717386189489,4.746166616678239,4.746166616678239,4.777499993642171,-0.4906392148089176,0.5708774493243189,-0.4556666732629141,0.5233333492279052,1522856992.5,647414.2793408614,4185678.668596916,1522856992.5,2018-04-04 15:49:52.500,-0.4642261553227666,-0.7521286597933876,0.5234261268916965,0.8065053950035345,-0.0037643574687071246,-0.003520076803909228,-6.341456,-1.3130574312258236
647414.4639832064,4185678.866017513,41.62779457025818,4.719166586796444,4.719166586796444,4.722999970118205,-0.5237156857742987,0.5615171544709631,-0.4216666594346365,0.5243333345254262,1522856992.5,647414.6486255515,4185679.06343811,1522856992.5,2018-04-04 15:49:52.500,-0.4633358024648028,-0.7505704269644646,0.5233041704758893,0.806455961485579,-0.00315808609013582,-0.0032740443725840784,-6.341456000000001,-1.3130216848703946
647414.8332678964,4185679.2608587067,42.16841527914261,4.701999892791112,4.701999892791112,4.705166578292847,-0.5222696066861066,0.5457352940568738,-0.48366666420300797,0.5499999829133352,1522856992.5,647415.0179102416,4185679.458279304,1522856992.5,2018-04-04 15:49:52.500,-0.46277323740844156,-0.7493192367051331,0.5228215149995212,0.8060604254842924,-0.002578672563160439,-0.0030452973979000486,-6.341455999999999,-1.3130528144967304
647415.2025525869,4185679.6556999013,42.70903598766494,4.651833285888036,4.651833285888036,4.654166539510091,-0.5029313719225865,0.5250539232796317,-0.5333333319028218,0.5346666696866352,1522856992.5,647415.387194932,4185679.8531204984,1522856992.5,2018-04-04 15:49:52.500,-0.46221067235180735,-0.7480680464453948,0.5223388595229027,0.8056648894827895,-0.0020560745355192867,-0.0028710667432411408,-6.341456000000001,-1.3130839441230202
647415.5718372772,4185680.050541095,43.24965669670842,4.633500009775163,4.633500009775163,4.63266650835673,-0.5004460770078732,0.5071078442545499,-0.5716666510899863,0.4840000093777974,1522856992.5,647415.7564796223,4185680.2479616916,1522856992.5,2018-04-04 15:49:52.500,-0.46164810729547845,-0.7468168561870854,0.5218562040464841,0.8052693534814095,-0.0017163849659105612,-0.002755602755895814,-6.341456000000001,-1.3131150737490622
647415.9411219676,4185680.445382288,43.790277405310256,4.600500017404557,4.600500017404557,4.583166519800822,-0.4964114592025682,0.5448749994536243,-0.5589999922911325,0.5173333253860474,1522856992.5,647416.1257643127,4185680.642802885,1522856992.5,2018-04-04 15:49:52.500,-0.46108554223914955,-0.7455656659287758,0.5213735485700656,0.8048738174800294,-0.0016248812781364808,-0.002669890208681025,-6.341456000000001,-1.313146203375104
647416.3104066579,4185680.840223482,44.33089811393413,4.559000005324681,4.559000005324681,4.535166581471762,-0.5527942719565084,0.5515729170652727,-0.612999995648861,0.5577499926090239,1522856992.5,647416.495049003,4185681.037644078,1522856992.5,2018-04-04 15:49:52.500,-0.46052297718282065,-0.7443144756704663,0.520890893093647,0.8044782814786495,-0.0010133829396348493,-0.002495852886258032,-6.341455999999999,-1.313177333001146
647416.6796913482,4185681.235064674,44.87151882271703,4.533000061909359,4.533000061909359,4.5248332023620605,-0.5353614599910876,0.5449927092524863,-0.5739999937534332,0.587799995136261,1522856992.5,647416.8643336934,4185681.4324852712,1522856992.5,2018-04-04 15:49:52.500,-0.4599604121264918,-0.7430632854121566,0.5204082376172284,0.8040827454772695,0.0005308359802802393,-0.0021633863654378638,-6.341456,-1.313208462627188
647417.0489760385,4185681.629905869,45.4121395314204,4.470666716496151,4.470666716496151,4.464999993642171,-0.4936354156012338,0.5374166699362299,-0.4711666640043259,0.5630000098546345,1522856992.5,647417.2336183836,4185681.827326466,1522856992.5,2018-04-04 15:49:52.500,-0.4593978470698413,-0.7418120951519074,0.5199255821406351,0.8036872094758133,0.0024768096298796866,-0.0018521924905606224,-6.341455999999999,-1.3132395922536249
647417.4182607288,4185682.024747063,45.95276024020331,4.447666635115941,4.447666635115941,4.429500023523967,-0.5026562474369999,0.549218752060086,-0.4781666653156281,0.5573333400885264,1522856992.5,647417.6029030741,4185682.2221676596,1522856992.5,2018-04-04 15:49:52.500,-0.45883528201322327,-0.74056090489268,0.5194429266639912,0.8032916734742636,0.0056169768382657165,-0.0014944162281457507,-6.341456,-1.3132707218797672
647417.7875454193,4185682.419588256,46.493380949065724,4.395999938249588,4.395999938249588,4.347666660944621,-0.4955333342701202,0.5759958313475054,-0.5501666686534882,0.5578333298365276,1522856992.5,647417.9721877645,4185682.617008853,1522856992.5,2018-04-04 15:49:52.500,-0.4625250046709218,-0.7400319958269507,0.5238996640812182,0.803221114249351,0.006343246815249087,-0.0015789853734335113,-6.28717251245171,-1.3132550132841727
647418.1568301097,4185682.8144294494,47.03400165784864,4.360999971628189,4.360999971628189,4.3161667188008614,-0.498935416354736,0.5674854163929819,-0.5178333370685577,0.5676666689713796,1522856992.5,647418.3414724548,4185683.011850046,1522856992.5,2018-04-04 15:49:52.500,-0.467773300543157,-0.7397678214630632,0.5301668164980499,0.803269667401872,0.005725203036222648,-0.001704258822714022,-6.212992725458463,-1.3132221372712798
647418.5261148,4185683.2092706426,47.574622366291436,4.3440000116825095,4.3440000116825095,4.3061667283376055,-0.510886665186882,0.5651133341842228,-0.5025000024636587,0.586666669090589,1522856992.5,647418.7107571452,4185683.4066912397,1522856992.5,2018-04-04 15:49:52.500,-0.4730215964201455,-0.7395036470992946,0.5364339689204802,0.8033182205547063,0.0035316069549455736,-0.001990987735768307,-6.138812938402585,-1.3131892612584568
647418.8953994903,4185683.6041118368,48.11524307525539,4.291333347558975,4.291333347558975,4.263333320617677,-0.5249555555846959,0.5471222213639153,-0.5198333284457524,0.5561666636069615,1522856992.5,647419.0800418354,4185683.8015324334,1522856992.5,2018-04-04 15:49:52.500,-0.47439990041842556,-0.7392619075893528,0.538458986583965,0.8033879319698345,0.0009826686807226787,-0.0023716397005717482,-6.091747294191776,-1.3132387910317795
647419.2646841806,4185683.99895303,48.65586378369819,4.274166653553645,4.274166653553645,4.2516667048136405,-0.5070022237224044,0.5263111093293299,-0.5459999965429305,0.5471666570107142,1522856992.5,647419.4493265257,4185684.1963736266,1522856992.5,2018-04-04 15:49:52.500,-0.4719979188006772,-0.7371556875882151,0.5372280719316862,0.8029069780020102,-0.0028655508518207334,-0.002972983791511258,-6.0910391543922815,-1.3132603386650425
647419.6339688706,4185684.3937942237,49.19648449232204,4.2411666611830405,4.2411666611830405,4.230666716893514,-0.496900000744396,0.551727778775162,-0.5236666648387911,0.5678333340883256,1522856992.5,647419.8186112158,4185684.5912148207,1522856992.5,2018-04-04 15:49:52.500,-0.46959476681868795,-0.7350485252934648,0.5359963210753399,0.8024257429858038,-0.004883238662432995,-0.0034605095567241673,-6.090349212292958,-1.3132818566427762
647420.003253561,4185684.7886354183,49.73710520110497,4.208999981482823,4.208999981482823,4.1848333676656075,-0.5172944456352127,0.5843500005006789,-0.5824999984105429,0.5748333315849304,1522856992.5,647420.1878959062,4185684.986056015,1522856992.5,2018-04-04 15:49:52.500,-0.46719161483541743,-0.7329413629981634,0.5347645702178625,0.801944507969371,-0.005140899790834458,-0.0038529286579429,-6.089659270198208,-1.3133033746204767
647420.3725382513,4185685.183476612,50.277725909547755,4.1788333157698325,4.1788333157698325,4.142666657765706,-0.5143222217877708,0.5827888884769544,-0.5608333265781403,0.5826666594346365,1522856992.5,647420.5571805963,4185685.380897209,1522856992.5,2018-04-04 15:49:52.500,-0.46478846285342806,-0.7308342007034129,0.5335328193615162,0.8014632729531647,-0.005096647516800876,-0.004017375039989141,-6.088969328098885,-1.3133248925982106
647420.7418229413,4185685.5783178057,50.81834661851172,4.158333371082942,4.158333371082942,4.129833300908406,-0.4729777762677929,0.5689555592576666,-0.4971666640043259,0.5536666643619537,1522856992.5,647420.9264652865,4185685.7757384023,1522856992.5,2018-04-04 15:49:52.500,-0.4623853108716736,-0.7287270384112956,0.5323010685032783,0.8009820379371326,-0.00620924440485178,-0.004507907191669214,-6.088279386020588,-1.3133464105757517
647421.1111076317,4185685.973158999,51.358967327294636,4.138333350419998,4.138333350419998,4.118333260218304,-0.4421000003265012,0.5312555587768558,-0.5143333377043406,0.503666669567426,1522856992.5,647421.2957499769,4185686.1705795955,1522856992.5,2018-04-04 15:49:52.500,-0.45998215888927846,-0.7266198761189028,0.5310693176444746,0.8005008029209875,-0.006563203485959332,-0.00509047174022309,-6.0875894439445775,-1.313367928553276
647421.4803923221,4185686.368000192,51.89958803573743,4.128666669130325,4.128666669130325,4.111999909083049,-0.4385111124389698,0.5429444449875093,-0.465166670203209,0.5595000012318293,1522856992.5,647421.6650346671,4185686.5654207887,1522856992.5,2018-04-04 15:49:52.500,-0.4577075531044543,-0.7244365835511086,0.5300271246355724,0.7999812721241989,-0.006917162567029608,-0.005673036288690397,-6.083824223158395,-1.313386995009287
647421.8496770123,4185686.762841385,52.44020874436128,4.105333358049394,4.105333358049394,4.1108332475026454,-0.4533690471223423,0.5423095227196102,-0.4485000029404958,0.5888333385388056,1522856992.5,647422.0343193575,4185686.960261982,1522856992.5,2018-04-04 15:49:52.500,-0.4575638777841093,-0.7209912674644027,0.532127261820994,0.798826906164157,-0.007373724639208629,-0.006136759039633732,-6.029079624968903,-1.3133654222084337
